Computer	Share	IsEveryoneAllowed	IsCurrentUserAllowed
ABFSTCLICATPA3.BSLI.COM	ADMIN$	False	False
ABFSTCLICATPA3.BSLI.COM	C$	False	False
ABFSTCLICATPA3.BSLI.COM	D$	False	False
ABFSTCLICATPDB1.BSLI.COM	ADMIN$	False	False
ABFSTCLICATPDB1.BSLI.COM	C$	False	False
ABFSTCLICATPDB1.BSLI.COM	D$	False	False
BSLIRTDDML073.BSLI.COM	ADMIN$	False	False
BSLIRTDDML073.BSLI.COM	C$	False	False
BSLIRTDDML073.BSLI.COM	D$	False	False
AMLC5CD5186BFS.BSLI.COM	ADMIN$	False	False
AMLC5CD5186BFS.BSLI.COM	C$	False	False
AMLC5CD5186BFS.BSLI.COM	D$	False	False
AMLC5CD5186BG2.BSLI.COM	ADMIN$	False	False
AMLC5CD5186BG2.BSLI.COM	C$	False	False
AMLC5CD5186BG2.BSLI.COM	D$	False	False
BSLITHNMCOL329.BSLI.COM	ADMIN$	False	False
BSLITHNMCOL329.BSLI.COM	C$	False	False
BSLITHNMCOL329.BSLI.COM	D$	False	False
ADLCBVD8FS3.BSLI.COM	ADMIN$	False	False
ADLCBVD8FS3.BSLI.COM	C$	False	False
BGLCHXV1QL31.BSLI.COM	ADMIN$	False	False
BGLCHXV1QL31.BSLI.COM	Backup Folder	True	True
BGLCHXV1QL31.BSLI.COM	C$	False	False
BGLCHXV1QL31.BSLI.COM	Users	True	True
AMDC1N133309BX.BSLI.COM	ADMIN$	False	False
AMDC1N133309BX.BSLI.COM	C$	False	False
AMDC1N133309BX.BSLI.COM	D$	False	False
ADLC7W98FS3.BSLI.COM	ADMIN$	False	False
ADLC7W98FS3.BSLI.COM	C$	False	False
HFLC8KYJLS3.BSLI.COM	ADMIN$	False	False
HFLC8KYJLS3.BSLI.COM	C$	False	False
BGLCG36WBL3.BSLI.COM	ADMIN$	False	False
BGLCG36WBL3.BSLI.COM	C$	False	False
HFLC10E4020700.BSLI.COM	ADMIN$	False	False
HFLC10E4020700.BSLI.COM	C$	False	False
BGLC1N132601ZV.BSLI.COM	ADMIN$	False	False
BGLC1N132601ZV.BSLI.COM	C$	False	False
BGLC1N132601ZV.BSLI.COM	Databackup	True	True
ABFSTCLSOPKMUA2.BSLI.COM	ADMIN$	False	False
ABFSTCLSOPKMUA2.BSLI.COM	C$	False	False
ABFSTCLSOPKMUA2.BSLI.COM	D$	False	False
ABFSTCLSOPKMUA2.BSLI.COM	E$	False	False
BMFANARSD938.BSLI.COM	ADMIN$	False	False
BMFANARSD938.BSLI.COM	C$	False	False
BMFANARSD938.BSLI.COM	D	True	True
BMFANARSD938.BSLI.COM	D$	False	False
BMFANARSD938.BSLI.COM	print$	True	True
BSLITHNRNAL510.BSLI.COM	ADMIN$	False	False
BSLITHNRNAL510.BSLI.COM	C$	False	False
BSLITHNRNAL510.BSLI.COM	D$	False	False
ABFSTCLSOPKMUA3.BSLI.COM	ADMIN$	False	False
ABFSTCLSOPKMUA3.BSLI.COM	C$	False	False
ABFSTCLSOPKMUA3.BSLI.COM	D$	False	False
ABFSTCLSOPKMUA3.BSLI.COM	E$	False	False
HFLC34Y32B3.BSLI.COM	ABHFL basic softwares	False	False
HFLC34Y32B3.BSLI.COM	ADMIN$	False	False
HFLC34Y32B3.BSLI.COM	C$	False	False
HFLC5CD4131HFX.BSLI.COM	ADMIN$	False	False
HFLC5CD4131HFX.BSLI.COM	C$	False	False
BGLC5CD4288DC.BSLI.COM	ADMIN$	False	False
BGLC5CD4288DC.BSLI.COM	C$	False	False
HFDC80CB040700.BSLI.COM	ADMIN$	False	False
HFDC80CB040700.BSLI.COM	C$	False	False
ABFSTCLSPKMUDB2.BSLI.COM	ADMIN$	False	False
ABFSTCLSPKMUDB2.BSLI.COM	C$	False	False
ABFSTCLSPKMUDB2.BSLI.COM	D$	False	False
ABFSTCLSPKMUDB2.BSLI.COM	E$	False	False
ABFSTCLSPKMUDB2.BSLI.COM	F$	False	False
BGLC5CD5033CQQ.BSLI.COM	ADMIN$	False	False
BGLC5CD5033CQQ.BSLI.COM	C$	False	False
BGLC5CD5033CQQ.BSLI.COM	D$	False	False
BSLICHEDSFL482.BSLI.COM	ADMIN$	False	False
BSLICHEDSFL482.BSLI.COM	C$	False	False
BSLICHEDSFL482.BSLI.COM	D$	False	False
BGLC4PJ3TL3.BSLI.COM	ADMIN$	False	False
BGLC4PJ3TL3.BSLI.COM	C$	False	False
BGLC75PKPL3.BSLI.COM	ADMIN$	False	False
BGLC75PKPL3.BSLI.COM	C$	False	False
BGLC5CD5033CP4.BSLI.COM	ADMIN$	False	False
BGLC5CD5033CP4.BSLI.COM	C$	False	False
BGLC5CD5033CP4.BSLI.COM	print$	True	True
HFLC5CD426108V.BSLI.COM	ADMIN$	False	False
HFLC5CD426108V.BSLI.COM	C$	False	False
ABFSTCLSPKMPDB2.BSLI.COM	ADMIN$	False	False
ABFSTCLSPKMPDB2.BSLI.COM	C$	False	False
ABFSTCLSPKMPDB1.BSLI.COM	ADMIN$	False	False
ABFSTCLSPKMPDB1.BSLI.COM	C$	False	False
ABFSTCLSPKMPDB1.BSLI.COM	D$	False	False
ABFSTCLSPKMPDB1.BSLI.COM	E$	False	False
ABFSTCLSPKMPDB1.BSLI.COM	F$	False	False
ABFSTCLSPKMPDB1.BSLI.COM	Q$	False	False
BGLCBGWN9G3.BSLI.COM	ADMIN$	False	False
BGLCBGWN9G3.BSLI.COM	C$	False	False
ADLC5CD327CL5D.BSLI.COM	ADMIN$	False	False
ADLC5CD327CL5D.BSLI.COM	C$	False	False
BSLITHNBSGL4957.BSLI.COM	ADMIN$	False	False
BSLITHNBSGL4957.BSLI.COM	C$	False	False
BSLITHNBSGL4957.BSLI.COM	D$	False	False
ADLC5SSS874.BSLI.COM	ADMIN$	False	False
ADLC5SSS874.BSLI.COM	C$	False	False
BGLC5CD340F70N.BSLI.COM	ADMIN$	False	False
BGLC5CD340F70N.BSLI.COM	C$	False	False
BGLC5CD340F70N.BSLI.COM	D$	False	False
BGLC5CD340F70N.BSLI.COM	print$	True	True
BGLC7WHSHL3.BSLI.COM	ADMIN$	False	False
BGLC7WHSHL3.BSLI.COM	C$	False	False
BSLITHNTAXL487.BSLI.COM	ADMIN$	False	False
BSLITHNTAXL487.BSLI.COM	C$	False	False
BSLITHNTAXL487.BSLI.COM	D$	False	False
ABCLINA523WZC0.BSLI.COM	ADMIN$	False	False
ABCLINA523WZC0.BSLI.COM	C$	False	False
ABCLINA523WZC0.BSLI.COM	D	True	True
ABCLINA523WZC0.BSLI.COM	D$	False	False
ABFSTCLSPKPCLUS.BSLI.COM	ClusterStorage$	False	False
ABFSTCLSPKPCLUS.BSLI.COM	Q$	False	False
BSLITHNWSD669.BSLI.COM	ADMIN$	False	False
BSLITHNWSD669.BSLI.COM	C$	False	False
BSLITHNWSD669.BSLI.COM	D	True	True
BSLITHNWSD669.BSLI.COM	D$	False	False
ADLC5CD5013PVT.BSLI.COM	ADMIN$	False	False
ADLC5CD5013PVT.BSLI.COM	C$	False	False
BSLITHNPSL697.BSLI.COM	ADMIN$	False	False
BSLITHNPSL697.BSLI.COM	C$	False	False
BSLITHNPSL697.BSLI.COM	D$	False	False
BSLITHNDIGL632.BSLI.COM	ADMIN$	False	False
BSLITHNDIGL632.BSLI.COM	C$	False	False
BSLITHNDIGL632.BSLI.COM	D$	False	False
BGLC5CD5061PR9.BSLI.COM	ADMIN$	False	False
BGLC5CD5061PR9.BSLI.COM	C$	False	False
HFLCJDWN9G3.BSLI.COM	ADMIN$	False	False
HFLCJDWN9G3.BSLI.COM	C$	False	False
BGDC1N1411022T.BSLI.COM	ADMIN$	False	False
BGDC1N1411022T.BSLI.COM	C$	False	False
BGDC1N1411022T.BSLI.COM	print$	True	True
HFLC5CG6474DGB.BSLI.COM	ADMIN$	False	False
HFLC5CG6474DGB.BSLI.COM	C$	False	False
BSLIGURTPDL528.BSLI.COM	ADMIN$	False	False
BSLIGURTPDL528.BSLI.COM	C$	False	False
BSLIGURTPDL528.BSLI.COM	D$	False	False
SSLC5CD41787XZ.BSLI.COM	ADMIN$	False	False
SSLC5CD41787XZ.BSLI.COM	C$	False	False
SSLC5CD41787VC.BSLI.COM	ADMIN$	False	False
SSLC5CD41787VC.BSLI.COM	C$	False	False
SSLC5CD41787VC.BSLI.COM	print$	True	True
SSLC5CD41787TZ.BSLI.COM	ADMIN$	False	False
SSLC5CD41787TZ.BSLI.COM	C$	False	False
BGLC5CD340F6YX.BSLI.COM	ADMIN$	False	False
BGLC5CD340F6YX.BSLI.COM	C$	False	False
BGLC5CD340F6YX.BSLI.COM	Data Backup	True	True
SSLC5CD41787XK.BSLI.COM	ADMIN$	False	False
SSLC5CD41787XK.BSLI.COM	C$	False	False
BGLC5CD50612L6.BSLI.COM	ADMIN$	False	False
BGLC5CD50612L6.BSLI.COM	C$	False	False
BGLC55YJMG3.BSLI.COM	ADMIN$	False	False
BGLC55YJMG3.BSLI.COM	C$	False	False
SSLC5CD41787SM.BSLI.COM	ADMIN$	False	False
SSLC5CD41787SM.BSLI.COM	C$	False	False
SSLC5CD41787SM.BSLI.COM	print$	True	True
BGLCV07U124119.BSLI.COM	ADMIN$	False	False
BGLCV07U124119.BSLI.COM	C$	False	False
SSLC5CD41787VN.BSLI.COM	ADMIN$	False	False
SSLC5CD41787VN.BSLI.COM	C$	False	False
SSLC5CD41787VG.BSLI.COM	ADMIN$	False	False
SSLC5CD41787VG.BSLI.COM	C$	False	False
BSLITHNDDML629.BSLI.COM	ADMIN$	False	False
BSLITHNDDML629.BSLI.COM	C$	False	False
BSLITHNDDML629.BSLI.COM	D$	False	False
SSLCJ8NTQL3.BSLI.COM	ADMIN$	False	False
SSLCJ8NTQL3.BSLI.COM	C$	False	False
ADLC5CD5013PW6.BSLI.COM	ADMIN$	False	False
ADLC5CD5013PW6.BSLI.COM	C$	False	False
SSLC5CD41787WG.BSLI.COM	ADMIN$	False	False
SSLC5CD41787WG.BSLI.COM	C$	False	False
BGLC5CD50612K6.BSLI.COM	ADMIN$	False	False
BGLC5CD50612K6.BSLI.COM	C$	False	False
ADLC5CD5013PVV.BSLI.COM	ADMIN$	False	False
ADLC5CD5013PVV.BSLI.COM	C$	False	False
ADLC5CD5013PWG.BSLI.COM	ADMIN$	False	False
ADLC5CD5013PWG.BSLI.COM	C$	False	False
BGLC85YJMG3.BSLI.COM	ADMIN$	False	False
BGLC85YJMG3.BSLI.COM	C$	False	False
BGLC07T55411D.BSLI.COM	ADMIN$	False	False
BGLC07T55411D.BSLI.COM	C$	False	False
ADLC5CD44953DY.BSLI.COM	ADMIN$	False	False
ADLC5CD44953DY.BSLI.COM	C$	False	False
BGLC5CD5061PPP.BSLI.COM	ADMIN$	False	False
BGLC5CD5061PPP.BSLI.COM	C$	False	False
ADLCG000326467.BSLI.COM	ADMIN$	False	False
ADLCG000326467.BSLI.COM	C$	False	False
ADLCG000326467.BSLI.COM	D	True	True
ADLCG000326467.BSLI.COM	D$	False	False
BGLC5CD5061PNB.BSLI.COM	ADMIN$	False	False
BGLC5CD5061PNB.BSLI.COM	C$	False	False
BGLC5CD5061PNR.BSLI.COM	ADMIN$	False	False
BGLC5CD5061PNR.BSLI.COM	C$	False	False
BGLC5CD50612KD.BSLI.COM	ADMIN$	False	False
BGLC5CD50612KD.BSLI.COM	C$	False	False
ABFSTCLSOPKMPA1.BSLI.COM	ADMIN$	False	False
ABFSTCLSOPKMPA1.BSLI.COM	C$	False	False
ABFSTCLSOPKMPA1.BSLI.COM	D$	False	False
ABFSTCLSOPKMPA1.BSLI.COM	E$	False	False
ABFSTCLSOPKMPA2.BSLI.COM	ADMIN$	False	False
ABFSTCLSOPKMPA2.BSLI.COM	C$	False	False
ABFSTCLSOPKMPA2.BSLI.COM	D$	False	False
ABFSTCLSOPKMPA2.BSLI.COM	E$	False	False
ABFSTCLSOPKMPA3.BSLI.COM	ADMIN$	False	False
ABFSTCLSOPKMPA3.BSLI.COM	C$	False	False
ABFSTCLSOPKMPA3.BSLI.COM	D$	False	False
ABFSTCLSOPKMPA3.BSLI.COM	E$	False	False
BSLITHNHRL957.BSLI.COM	ADMIN$	False	False
BSLITHNHRL957.BSLI.COM	C$	False	False
BSLITHNHRL957.BSLI.COM	D$	False	False
BGLC128979258.BSLI.COM	ADMIN$	False	False
BGLC128979258.BSLI.COM	C$	False	False
BGLD1N15120NGT.BSLI.COM	ADMIN$	False	False
BGLD1N15120NGT.BSLI.COM	C$	False	False
BGLD1N15120NGT.BSLI.COM	D	True	True
BGLD1N15120NGT.BSLI.COM	D$	False	False
BGLD1N15120NGT.BSLI.COM	E$	False	False
BGLD1N15120NGT.BSLI.COM	F	True	True
BGLD1N15120NGT.BSLI.COM	F$	False	False
BGLD1N15120NGT.BSLI.COM	print$	True	True
HFLC5KYJLS3.BSLI.COM	ADMIN$	False	False
HFLC5KYJLS3.BSLI.COM	C$	False	False
BGLC5CD351HVNQ.BSLI.COM	ADMIN$	False	False
BGLC5CD351HVNQ.BSLI.COM	C$	False	False
BSLITHNITL722.BSLI.COM	ADMIN$	False	False
BSLITHNITL722.BSLI.COM	C$	False	False
BSLITHNITL722.BSLI.COM	D$	False	False
BSLITHNDDML023.BSLI.COM	ADMIN$	False	False
BSLITHNDDML023.BSLI.COM	C$	False	False
BSLITHNDDML023.BSLI.COM	D$	False	False
BSLITHNCORL065.BSLI.COM	ADMIN$	False	False
BSLITHNCORL065.BSLI.COM	C$	False	False
BSLITHNCORL065.BSLI.COM	D$	False	False
BGLCZ002392358.BSLI.COM	ADMIN$	False	False
BGLCZ002392358.BSLI.COM	C$	False	False
BGLC5CD5061PLS.BSLI.COM	ADMIN$	False	False
BGLC5CD5061PLS.BSLI.COM	C$	False	False
BSLIRTGBL059.BSLI.COM	ADMIN$	False	False
BSLIRTGBL059.BSLI.COM	C$	False	False
BSLIRTGBL059.BSLI.COM	D$	False	False
